,Unnamed: 0,size,accuracy,combs
4093,4093,11,0.79565,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
3245,3245,7,0.7955749999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
4081,4081,10,0.795525,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4075,4075,10,0.795525,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
3692,3692,8,0.7955000000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
4094,4094,12,0.7954999999999999,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
3380,3380,8,0.795475,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
3575,3575,8,0.7953250000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3376,3376,8,0.7953,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket')"
4073,4073,10,0.795275,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
2378,2378,6,0.795025,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
4092,4092,11,0.79495,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4086,4086,11,0.794925,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
2106,2106,6,0.7947,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket')"
3246,3246,7,0.794675,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket', 'ChildrenFlag')"
3043,3043,7,0.794325,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket')"
2388,2388,6,0.7941,"('NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
1854,1854,6,0.7932,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket')"
1392,1392,5,0.79255,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket')"
1401,1401,5,0.7916000000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket')"
1151,1151,5,0.7913749999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType')"
1396,1396,5,0.7912250000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket')"
644,644,4,0.78525,"('NumberChildrenAtHome', 'Married', 'Income', 'AgeBracket')"
615,615,4,0.78515,"('NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket')"
639,639,4,0.784675,"('NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket')"
635,635,4,0.784275,"('NumberChildrenAtHome', 'Married', 'JobType', 'AgeBracket')"
186,186,3,0.78215,"('NumberChildrenAtHome', 'Sex', 'Married')"
197,197,3,0.7803749999999999,"('NumberChildrenAtHome', 'Married', 'AgeBracket')"
194,194,3,0.7795500000000001,"('NumberChildrenAtHome', 'Married', 'EducationType')"
196,196,3,0.77885,"('NumberChildrenAtHome', 'Married', 'Income')"
40,40,2,0.7767999999999999,"('NumberChildrenAtHome', 'AgeBracket')"
35,35,2,0.775375,"('NumberChildrenAtHome', 'Married')"
34,34,2,0.774325,"('NumberChildrenAtHome', 'Sex')"
36,36,2,0.7724,"('NumberChildrenAtHome', 'JobType')"
2,2,1,0.7724,"('NumberChildrenAtHome',)"
1,1,1,0.709275,"('NumberCarsOwned',)"
9,9,1,0.674475,"('Income',)"
7,7,1,0.67255,"('EducationType',)"
