,est_n_estimators,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
24,25,0.7837109659487819,0.009600029150514769,4,0.787175,0.789,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket']"
25,50,0.7875515004235967,0.009694694335038619,9,0.7871,0.7842,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
26,75,0.7862103714272974,0.010106393035865583,8,0.7863,0.787,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
27,25,0.7849910450201394,0.010749791673043413,8,0.786125,0.7828,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Country', 'AgeBracket', 'ChildrenFlag']"
28,25,0.781699922712207,0.01098982321015995,4,0.78535,0.7898,"['NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket']"
29,50,0.783283839419747,0.010725034102486335,9,0.7842,0.7782,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
30,25,0.7804806706202346,0.007973750768633178,4,0.7838,0.7896,"['NumberChildrenAtHome', 'Married', 'Income', 'AgeBracket']"
31,50,0.7797490747759397,0.008607995736286324,4,0.78375,0.7844,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married']"
32,75,0.7842591147575095,0.010355286513652345,9,0.783625,0.7826,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
33,50,0.7873074865117939,0.01247244654636164,9,0.783325,0.7796,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
34,25,0.7781028076277107,0.010539975936094285,3,0.782825,0.7846,"['NumberChildrenAtHome', 'Sex', 'Married']"
35,25,0.7771889166332249,0.010145284314684774,3,0.781675,0.7816,"['NumberChildrenAtHome', 'Married', 'Income']"
36,10,0.7764569863705949,0.010760726312834219,3,0.78125,0.7834,"['NumberChildrenAtHome', 'Married', 'EducationType']"
37,50,0.7760300084719312,0.008983249106907877,3,0.7802,0.7796,"['NumberChildrenAtHome', 'Married', 'AgeBracket']"
38,50,0.7787724246072443,0.010013440126094468,10,0.78005,0.7756,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
39,75,0.7830401227686867,0.013466314278348294,10,0.7791750000000001,0.7768,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
40,75,0.7768835183781453,0.008430984417014425,10,0.77855,0.782,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
41,50,0.7798085269243917,0.013300406857938785,10,0.7775000000000001,0.7758,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
42,50,0.7735914671303934,0.009233840246480184,2,0.7767999999999999,0.782,"['NumberChildrenAtHome', 'AgeBracket']"
43,10,0.7729216643628959,0.010384630790909203,2,0.776625,0.7764,"['NumberChildrenAtHome', 'Married']"
44,10,0.7721289071208811,0.009379274077392427,2,0.77585,0.778,"['NumberChildrenAtHome', 'Sex']"
45,10,0.7696289442784738,0.008841889726303913,2,0.7734000000000001,0.7768,"['NumberChildrenAtHome', 'EducationType']"
46,75,0.7725542872430553,0.00930531261598237,11,0.7730250000000001,0.771,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
47,10,0.7695072160045183,0.009150988080102028,1,0.7724,0.7784,['NumberChildrenAtHome']
48,50,0.7718834812205526,0.01351916010992744,11,0.772225,0.7722,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
49,75,0.7722491862487181,0.011699803477304442,11,0.77125,0.774,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
50,50,0.7730424265394392,0.009036329933916235,11,0.77075,0.7714,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
51,75,0.7683483450008175,0.010644494827608073,12,0.76505,0.7702,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
52,10,0.7050112587506131,0.012362341549275891,1,0.709275,0.7122,['NumberCarsOwned']
53,10,0.6747132920140902,0.009359543773766587,1,0.674475,0.675,['Income']
54,10,0.6677035492932626,0.012716345408094618,1,0.67255,0.6662,['HomeOwnerFlag']
