,est_max_features,est_max_depth,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
24,4,7,0.7834670263521648,0.009755853208532525,4,0.787175,0.7898,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket']"
25,8,7,0.7863932239413802,0.009157111567631925,9,0.7871,0.7936,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
26,8,6,0.782918394494731,0.012855807087696939,8,0.7863,0.791,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
27,5,8,0.7836505848605103,0.010892150342166316,8,0.786125,0.7898,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Country', 'AgeBracket', 'ChildrenFlag']"
28,1,9,0.7812730934439143,0.010860207904995298,4,0.78535,0.79,"['NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket']"
29,9,10,0.785904973172218,0.009026095033673874,9,0.7842,0.7802,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
30,2,9,0.7782247960048156,0.008963059167319177,4,0.7838,0.7898,"['NumberChildrenAtHome', 'Married', 'Income', 'AgeBracket']"
31,1,6,0.7793225056107966,0.008925798815990801,4,0.78375,0.785,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married']"
32,7,6,0.7851119186694608,0.009684847093991955,9,0.783625,0.7884,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
33,8,7,0.7863314308645829,0.010374420082281578,9,0.783325,0.791,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
34,1,6,0.7781028076277107,0.010539975936094285,3,0.782825,0.7846,"['NumberChildrenAtHome', 'Sex', 'Married']"
35,1,7,0.7767621988377106,0.010364636417504321,3,0.781675,0.782,"['NumberChildrenAtHome', 'Married', 'Income']"
36,3,6,0.7767010745975832,0.011138935610572696,3,0.78125,0.7834,"['NumberChildrenAtHome', 'Married', 'EducationType']"
37,2,6,0.7760911698696511,0.009663150023129228,3,0.7802,0.7794,"['NumberChildrenAtHome', 'Married', 'AgeBracket']"
38,4,8,0.7866983992509029,0.0073318785048815185,10,0.78005,0.792,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
39,5,9,0.786332619907552,0.008699784388428498,10,0.7791750000000001,0.7898,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
40,8,8,0.7829172797669475,0.0129134831946372,10,0.77855,0.7848,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
41,5,7,0.7842584087632467,0.011445478636600784,10,0.7775000000000001,0.7932,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
42,1,5,0.7735304543630445,0.009283416958564687,2,0.7767999999999999,0.782,"['NumberChildrenAtHome', 'AgeBracket']"
43,1,4,0.7729216643628959,0.010384630790909203,2,0.776625,0.7764,"['NumberChildrenAtHome', 'Married']"
44,1,4,0.7721289071208811,0.009379274077392427,2,0.77585,0.778,"['NumberChildrenAtHome', 'Sex']"
45,2,1,0.7692631649351228,0.0091390762616063,2,0.7734000000000001,0.7784,"['NumberChildrenAtHome', 'EducationType']"
46,8,7,0.7862713098794608,0.008460970721232933,11,0.7730250000000001,0.794,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
47,1,1,0.7695072160045183,0.009150988080102028,1,0.7724,0.7784,['NumberChildrenAtHome']
48,8,7,0.7864545711270641,0.01109028848302007,11,0.772225,0.7906,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
49,7,7,0.7846248941008606,0.009560232562139753,11,0.77125,0.79,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
50,6,8,0.780906533791115,0.009699322968812988,11,0.77075,0.7912,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
51,10,7,0.7835267386037662,0.010979500117764957,12,0.76505,0.7842,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
52,1,1,0.7050112587506131,0.012362341549275891,1,0.709275,0.7122,['NumberCarsOwned']
53,1,1,0.6747132920140902,0.009359543773766587,1,0.674475,0.675,['Income']
54,1,1,0.6677035492932626,0.012716345408094618,1,0.67255,0.6662,['HomeOwnerFlag']
