,est_max_features,est_n_estimators,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
35,2,10,0.7777379182432482,0.008543945738517559,3,0.781675,0.7388,"['NumberChildrenAtHome', 'Married', 'Income']"
36,2,10,0.7771890820020666,0.008850738941875335,3,0.78125,0.7416,"['NumberChildrenAtHome', 'Married', 'EducationType']"
37,3,10,0.7760307684302078,0.00677478997432533,3,0.7802,0.7344,"['NumberChildrenAtHome', 'Married', 'AgeBracket']"
38,4,100,0.7777376023074464,0.006491306859713677,10,0.78005,0.7688,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
39,7,25,0.779017365318426,0.007419146174170992,10,0.7791750000000001,0.7678,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
40,4,100,0.7762136209216404,0.0063041343493419185,10,0.77855,0.7674,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
41,7,25,0.7788350703607614,0.008924176258700657,10,0.7775000000000001,0.7696,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
42,1,25,0.7735922272358963,0.00845615751012216,2,0.7767999999999999,0.7524,"['NumberChildrenAtHome', 'AgeBracket']"
43,1,10,0.7729217928799221,0.007892650510166126,2,0.776625,0.7216,"['NumberChildrenAtHome', 'Married']"
44,1,10,0.7721291285375518,0.007858620119057587,2,0.77585,0.7414,"['NumberChildrenAtHome', 'Sex']"
45,1,10,0.769934638457936,0.008231874561847399,2,0.7734000000000001,0.7126,"['NumberChildrenAtHome', 'EducationType']"
46,4,100,0.7726774629983423,0.0061761254817000325,11,0.7730250000000001,0.7748,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
47,1,10,0.7695079392808558,0.00827394652497564,1,0.7724,0.7054,['NumberChildrenAtHome']
48,8,25,0.7726776488429316,0.007538341583816528,11,0.772225,0.7642,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
49,8,25,0.7706049427226975,0.007753771488726971,11,0.77125,0.7692,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
50,1,50,0.7701777975186029,0.006438364313873225,11,0.77075,0.7666,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
51,1,100,0.7672520275644695,0.007487720268227634,12,0.76505,0.7674,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
52,1,10,0.7050110577530646,0.00999030638878299,1,0.709275,0.6662,['NumberCarsOwned']
53,1,10,0.6747130002007122,0.0066329585242077055,1,0.674475,0.6662,['Income']
54,1,10,0.6677025891868185,0.008667558943687984,1,0.67255,0.6662,['HomeOwnerFlag']
