,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,BikeBuyer,AreaCode,Sex,Married,JobType,EducationType,Country,Income,AgeBracket,ChildrenFlag
41,1,2,0,0,555,0,1,1,1,0,1,0,0
42,1,2,0,0,555,1,1,1,1,0,2,0,0
43,1,2,1,0,500,1,1,3,4,1,0,2,1
44,0,2,0,0,500,1,0,1,2,1,1,2,1
45,1,2,0,0,500,0,1,1,2,1,1,2,1
46,0,2,0,0,500,0,1,1,2,1,0,2,1
47,1,2,0,1,555,0,0,3,4,0,0,0,0
48,1,2,0,0,500,1,1,1,2,1,1,1,1
49,0,2,0,0,500,1,0,1,2,1,0,1,1
50,0,2,0,0,500,0,0,3,1,1,1,1,1
51,0,2,0,0,555,0,1,1,1,0,2,0,0
52,1,2,0,0,500,0,1,1,1,1,1,1,1
53,1,2,0,0,500,1,1,1,1,1,1,1,1
54,1,2,0,0,500,0,1,1,1,1,0,1,1
55,1,2,0,0,500,1,1,2,3,1,3,1,1
56,1,2,0,0,500,1,1,1,1,1,3,1,1
57,1,2,0,0,500,0,0,1,1,1,2,1,1
58,1,2,0,0,500,1,1,1,1,1,3,1,1
59,1,2,0,1,500,1,1,1,1,1,3,1,1
60,1,2,0,0,555,1,1,1,2,0,1,0,0
61,1,2,0,0,555,0,0,1,2,0,0,0,0
62,1,2,0,0,555,1,1,1,2,0,1,0,0
63,0,2,0,1,555,0,1,1,1,0,1,0,0
64,1,2,0,0,555,0,1,0,1,0,1,0,0
65,1,2,0,1,555,1,0,0,1,0,2,0,0
66,1,2,0,0,500,1,1,1,2,1,3,1,1
67,1,2,0,0,500,0,0,1,2,1,3,1,1
68,0,2,0,0,500,0,0,1,2,1,2,1,1
69,1,2,0,0,500,0,0,1,2,1,1,1,1
70,1,2,0,0,500,1,0,1,2,1,2,1,1
71,1,2,0,0,500,0,0,0,2,1,2,1,1
72,1,2,0,0,500,1,0,0,2,1,3,1,1
73,0,2,0,0,500,0,0,0,2,1,3,1,1
74,0,2,0,1,555,0,0,0,2,5,0,0,0
75,1,2,0,0,500,1,0,2,3,1,3,1,0
76,1,2,0,1,500,1,1,2,3,1,3,1,0
77,1,3,2,0,555,0,1,2,0,0,3,0,1
78,0,3,1,1,555,0,0,2,3,0,3,0,1
79,1,3,1,1,555,0,1,2,3,0,3,0,1
80,0,2,0,0,555,0,0,0,2,0,1,1,1
81,1,0,1,0,555,1,1,0,1,0,2,1,1
82,1,0,1,0,555,1,1,2,0,0,3,1,1
83,1,1,1,1,555,0,0,2,0,0,2,1,1
84,1,1,0,0,555,1,0,0,1,0,3,1,1
85,1,1,0,0,555,1,1,0,1,5,3,1,1
86,1,0,0,0,500,0,1,2,3,1,3,0,0
87,0,1,0,1,500,1,0,1,1,1,2,1,1
88,1,1,0,0,500,1,0,1,1,1,3,1,1
89,1,1,0,1,500,1,1,0,0,1,3,1,1
90,1,1,0,0,500,1,1,1,1,1,2,1,1
91,0,1,0,0,500,0,0,1,1,1,2,1,1
92,1,1,0,1,500,1,1,0,0,1,3,1,1
93,1,1,0,0,500,0,0,1,1,1,1,1,1
94,0,1,0,1,500,0,0,0,0,1,2,1,0
95,1,4,5,1,500,0,0,0,0,1,2,1,1
96,1,1,0,0,500,0,0,0,0,1,2,1,0
97,0,1,0,0,500,1,1,0,0,1,3,1,0
98,0,1,0,0,500,0,0,0,0,1,2,1,0
99,0,1,0,1,500,1,0,0,0,1,2,1,0
100,1,1,0,1,500,0,1,0,0,1,3,1,1
101,0,2,0,1,500,1,0,0,0,1,3,1,0
102,1,1,0,1,500,1,1,1,1,1,2,1,1
103,1,1,0,1,500,0,1,1,1,1,1,1,1
104,1,1,0,0,500,0,1,1,1,1,1,1,1
105,1,2,4,1,500,1,1,0,0,1,3,1,1
106,0,2,0,0,500,1,0,4,4,4,0,0,0
110,1,2,4,1,500,1,1,1,1,1,2,1,1
111,1,2,4,1,500,1,1,1,1,1,2,1,1
112,1,3,4,1,500,0,1,1,1,1,1,1,1
113,0,2,0,0,500,1,0,3,1,1,1,3,1
114,1,1,0,0,500,0,0,2,0,1,1,2,1
115,1,3,4,0,500,1,1,1,1,1,2,1,1
116,1,3,4,1,500,1,1,1,1,1,3,1,1
117,1,1,0,1,500,1,0,1,1,1,3,1,1
118,1,1,0,0,500,0,0,1,1,1,1,1,1
119,0,2,1,0,500,1,1,1,2,1,0,2,1
120,1,1,0,0,555,0,1,1,2,0,0,0,0
121,1,1,0,0,555,0,0,1,2,0,0,0,0
122,1,2,0,0,555,0,1,1,2,0,0,0,0
123,0,2,0,0,555,0,1,1,2,5,0,0,0
124,0,2,0,0,555,0,0,1,2,5,0,0,0
125,0,2,0,0,555,0,0,3,4,0,0,0,0
126,1,2,0,1,500,1,0,1,2,1,0,2,1
127,0,2,0,0,555,1,0,3,4,0,1,0,0
128,0,2,0,0,555,0,0,1,2,5,0,0,0
129,1,2,0,0,555,0,1,1,2,0,0,0,0
130,0,2,0,0,555,0,1,1,2,0,0,0,0
131,0,2,0,0,500,0,0,3,1,1,0,2,1
132,0,2,0,0,555,1,0,3,4,0,1,0,0
133,0,2,0,0,555,0,1,1,2,0,0,0,0
134,0,2,0,1,555,1,0,1,2,5,1,0,0
135,1,2,0,0,555,1,1,1,2,0,0,0,0
139,0,2,0,0,555,1,0,1,2,0,1,0,0
140,0,2,0,0,555,0,0,1,2,0,0,0,0
141,1,2,0,0,500,0,0,2,0,1,1,2,1
142,1,1,0,0,500,1,1,2,3,1,3,2,1
143,1,2,0,0,500,1,1,2,0,1,1,2,1
144,1,2,0,0,500,1,1,2,0,1,2,2,1
145,1,2,0,0,500,1,0,2,0,1,2,2,1
146,0,1,0,0,500,0,0,2,3,1,2,2,1
147,1,2,0,1,555,1,0,1,2,0,1,0,0
148,1,2,0,0,555,0,1,1,2,0,0,0,0
149,1,1,0,0,555,0,0,1,1,0,0,0,0
150,0,1,0,1,555,1,0,1,1,0,1,0,0
151,1,2,0,0,555,0,1,1,2,0,0,0,0
152,1,2,0,0,555,1,0,1,2,0,1,0,0
153,0,2,0,0,555,0,0,1,2,0,0,0,0
154,0,1,0,0,555,1,0,1,1,0,1,0,0
155,0,1,0,1,555,0,0,1,1,0,0,0,0
156,1,1,0,0,555,1,1,1,1,0,1,0,0
157,0,1,0,1,555,1,0,1,1,0,0,0,0
158,0,1,0,0,555,0,1,1,1,0,2,0,0
159,0,2,0,1,555,0,0,1,1,0,1,0,0
160,1,1,4,1,555,1,1,2,0,0,3,0,1
161,1,1,4,1,555,0,1,2,0,0,3,0,1
162,1,2,0,1,555,1,0,2,0,0,3,0,1
163,1,2,0,0,555,0,1,2,0,0,2,0,1
167,0,4,0,0,555,0,0,2,3,0,3,0,0
168,1,0,1,1,555,1,1,2,3,0,3,0,1
169,1,2,0,1,555,1,0,1,1,0,2,1,0
170,1,1,4,1,555,1,1,2,0,5,3,0,1
171,1,2,4,1,555,1,1,2,3,0,3,2,1
172,1,3,4,0,555,0,1,2,3,0,3,2,1
173,1,4,3,1,555,0,1,2,0,0,3,2,1
174,1,2,3,0,555,1,1,2,3,0,3,2,1
175,1,2,0,0,555,0,0,2,0,0,2,2,1
176,1,2,0,1,555,0,0,2,0,0,2,2,1
177,1,2,0,0,555,0,0,2,0,0,2,2,1
178,1,2,0,0,555,0,0,2,0,5,2,2,1
179,1,2,0,0,555,0,0,2,0,0,2,2,1
180,1,2,0,0,555,0,1,2,3,0,2,2,1
181,0,2,0,0,555,0,1,2,3,0,3,2,1
182,1,2,0,0,555,1,0,2,3,0,3,2,1
183,1,2,0,0,555,1,1,2,0,0,2,2,1
184,1,3,0,0,555,0,0,2,0,0,2,2,1
185,1,2,0,0,555,1,1,2,0,0,3,2,1
186,1,2,0,0,555,1,1,2,0,0,3,2,1
187,1,2,0,0,555,0,1,2,0,0,2,2,1
188,1,3,0,0,555,0,1,2,0,0,2,2,1
189,1,3,0,0,555,1,1,2,0,0,2,2,1
190,0,1,1,1,555,0,1,2,0,0,2,2,1
191,1,1,1,0,555,0,0,2,0,0,2,2,1
192,1,1,1,0,555,0,1,2,0,0,2,2,1
193,1,1,1,1,555,1,1,2,0,5,3,2,1
194,1,1,1,0,555,0,1,2,0,0,2,2,1
195,0,2,0,0,555,0,1,2,0,0,2,2,1
196,1,2,1,0,555,1,1,0,2,5,1,2,1
197,1,2,1,0,555,0,1,0,2,0,1,2,1
198,1,2,1,0,555,0,1,0,2,0,1,2,1
199,1,1,1,0,555,1,1,0,1,0,2,2,1
200,1,0,1,1,555,0,1,2,0,0,2,2,1
201,1,0,1,1,555,0,1,2,0,0,1,2,1
202,1,2,1,0,555,1,1,0,1,0,2,2,1
206,1,2,1,1,555,0,1,0,2,5,1,2,1
207,1,2,1,0,555,0,1,0,2,5,0,2,1
208,1,2,1,0,555,0,0,0,1,0,1,2,1
209,1,2,1,0,555,1,0,0,1,0,2,2,1
210,1,2,1,0,555,0,0,0,1,0,2,2,1
211,1,2,1,1,555,0,0,0,1,0,2,2,1
212,0,2,1,0,555,0,0,0,1,0,2,2,1
216,1,2,1,0,555,1,1,0,2,0,2,2,1
217,1,1,1,0,555,0,1,0,1,0,2,2,1
218,1,1,2,0,555,1,1,0,1,0,3,2,1
219,1,1,1,0,555,0,1,2,0,0,2,2,1
220,1,2,1,1,555,0,0,0,2,5,2,1,1
221,1,2,1,0,555,0,0,0,2,0,1,1,1
222,1,1,1,0,555,0,1,0,1,0,2,1,1
223,1,1,1,0,555,0,1,0,1,0,1,1,1
224,1,2,1,1,555,1,0,0,1,0,3,1,1
225,1,2,1,1,555,0,1,0,1,0,2,1,1
226,1,1,2,0,555,1,0,0,1,0,2,1,1
227,0,2,2,0,555,0,1,0,1,0,2,1,1
228,1,2,1,0,555,1,1,0,2,0,2,1,1
229,0,2,1,1,555,0,1,0,2,0,2,1,1
230,1,2,2,0,555,1,1,0,1,0,2,1,1
231,1,2,2,1,555,0,0,0,1,0,2,1,1
232,1,2,2,0,555,1,1,0,1,0,2,1,1
233,1,2,2,1,555,1,0,0,1,0,3,1,1
234,0,4,3,1,500,1,0,2,0,4,3,1,1
235,0,4,3,1,500,0,0,2,0,2,3,1,1
236,0,2,4,0,500,0,1,0,1,2,3,1,1
237,1,4,3,1,500,0,1,0,1,2,3,1,1
238,1,4,3,1,500,0,0,0,1,3,3,1,1
239,1,3,4,1,500,1,1,0,1,3,3,1,1
240,1,3,3,0,500,0,1,0,1,2,3,1,1
241,0,3,3,1,500,0,0,2,0,2,3,1,1
242,0,4,4,1,500,1,1,0,2,4,3,1,1
243,0,4,4,0,500,0,1,0,2,4,3,1,1
244,1,4,4,1,500,1,1,0,1,3,3,1,1
245,1,3,4,1,500,0,1,0,1,4,3,1,1
246,1,2,4,0,500,0,1,0,2,2,3,1,1
247,0,2,0,0,555,1,0,0,2,5,1,3,1
248,1,1,0,0,555,1,0,2,3,0,3,3,1
249,1,2,0,0,555,1,1,2,3,5,3,3,1
250,1,2,0,0,555,1,1,2,3,0,3,3,1
251,1,2,0,0,555,0,1,2,3,0,2,3,1
252,1,4,2,0,555,0,0,2,3,0,3,3,1
253,1,4,1,0,555,0,1,0,1,0,2,1,1
254,1,3,2,1,555,0,1,2,0,0,3,1,1
255,1,1,2,0,555,0,1,2,3,0,3,1,1
256,1,0,3,0,555,0,1,2,0,5,2,1,1
257,1,3,5,0,555,0,1,0,1,0,3,1,1
258,0,3,5,1,555,1,0,0,1,0,3,1,1
259,1,3,5,1,555,0,1,0,1,0,2,1,1
260,0,1,0,0,555,0,0,0,1,0,2,1,0
261,1,4,2,1,555,1,0,0,1,0,3,1,1
262,1,2,2,0,555,0,1,2,3,0,3,1,1
263,1,2,2,1,555,1,1,2,3,0,3,1,1
264,1,3,2,1,555,1,1,2,3,0,3,1,1
265,0,4,0,1,555,0,0,2,0,0,3,1,1
266,1,0,3,1,555,0,0,0,1,0,1,1,1
267,1,0,1,0,555,1,1,0,1,0,3,1,1
268,1,2,0,0,555,1,1,2,3,0,2,3,1
269,1,2,0,0,555,0,1,2,3,0,3,3,1
270,1,2,3,1,555,0,1,0,1,5,3,1,1
271,1,2,3,1,555,1,1,0,1,5,3,1,1
272,1,1,0,0,555,0,1,0,1,0,2,1,0
276,1,1,0,1,555,1,1,0,1,0,3,1,0
277,1,4,2,1,555,0,0,2,0,0,3,1,1
278,1,4,4,1,555,1,1,0,1,0,3,1,1
279,1,2,3,1,555,1,1,2,0,0,3,1,1
280,0,4,3,1,555,1,1,0,1,0,3,1,1
284,1,4,0,0,555,1,1,2,3,0,3,1,0
285,0,3,4,1,555,1,1,0,1,5,2,1,1
286,1,1,3,1,555,0,1,2,0,0,3,1,1
287,1,3,3,1,555,0,1,2,0,0,3,1,1
288,1,3,3,0,555,0,1,2,0,0,3,1,1
289,0,3,2,1,555,1,0,0,1,0,3,1,1
290,0,2,0,1,555,1,0,0,2,0,2,1,1
291,0,2,0,0,555,1,1,0,2,0,2,1,1
292,1,2,0,1,555,0,0,1,4,0,2,1,1
293,1,2,0,0,555,0,0,2,3,0,2,3,1
294,1,2,0,0,555,1,0,2,3,0,3,3,1
295,1,2,0,0,555,1,1,2,3,0,3,3,1
296,1,2,0,0,555,1,1,2,3,0,3,2,1
297,0,3,4,1,555,1,1,0,1,5,3,1,1
298,1,4,4,1,555,1,1,0,1,0,3,1,1
299,0,3,3,1,555,1,0,0,2,0,3,1,1
300,0,3,3,1,555,0,0,0,2,0,3,1,1
301,1,0,3,0,555,0,1,0,1,0,2,1,1
302,0,4,3,0,555,1,1,0,1,0,3,1,1
303,0,4,3,1,555,1,1,0,1,0,3,1,1
304,1,2,0,0,555,1,1,1,4,0,3,1,1
305,0,2,0,0,555,1,1,0,2,0,2,1,1
306,1,2,0,0,555,0,0,0,2,0,1,1,1
307,1,2,0,1,555,0,0,2,3,0,3,1,1
308,0,2,0,0,555,0,0,2,3,0,2,1,1
309,1,2,0,0,555,0,0,2,3,0,2,1,1
310,1,2,0,0,555,1,0,2,3,0,3,1,1
311,0,2,0,1,555,0,0,2,3,0,2,1,1
312,0,2,0,1,555,0,0,2,3,0,3,1,1
313,1,2,0,0,555,1,1,2,3,5,3,1,1
314,0,2,0,0,555,0,0,0,1,0,0,1,1
315,0,2,0,0,555,0,0,0,1,0,1,1,1
316,0,2,0,0,555,0,1,2,3,0,2,2,1
317,1,2,0,0,555,0,1,2,3,0,3,2,1
318,1,2,0,0,555,1,1,2,0,0,3,2,1
319,1,2,0,0,555,0,1,2,0,0,3,2,1
320,1,2,0,0,555,1,1,2,0,0,3,2,1
321,1,2,0,0,555,1,0,2,0,0,3,2,1
322,1,4,3,1,555,1,1,2,0,0,3,2,1
323,1,2,0,0,555,1,1,2,0,5,3,2,1
327,1,2,0,0,555,1,0,2,0,0,3,2,1
328,1,1,4,0,555,1,1,2,3,5,3,2,1
329,1,0,0,0,500,0,1,3,3,2,0,1,1
330,1,0,0,0,500,0,1,4,0,2,0,1,1
331,1,0,0,0,500,0,1,4,0,4,0,1,1
332,1,0,0,1,500,1,1,3,3,3,1,1,1
333,1,0,0,0,500,1,1,4,0,2,0,1,1
334,1,0,0,1,500,1,1,3,3,4,1,1,1
335,1,0,0,0,500,1,0,3,3,3,0,1,1
336,1,0,0,0,500,0,1,3,3,3,0,2,1
337,1,0,0,0,500,1,1,3,3,2,0,2,1
338,1,0,0,1,500,1,1,3,3,3,1,1,1
339,1,0,0,0,500,1,1,4,0,2,0,1,1
340,1,0,0,0,500,0,1,4,1,2,0,1,1
341,1,0,0,0,500,0,0,4,1,3,0,1,1
342,1,1,0,0,500,0,0,4,1,3,0,1,1
343,1,1,0,0,500,1,1,4,1,4,0,1,1
344,1,1,0,0,500,1,1,4,1,4,0,1,1
345,1,1,0,0,500,0,1,4,1,4,0,1,1
346,1,0,0,0,500,0,1,3,3,2,1,2,1
347,1,0,0,0,500,0,0,3,0,2,0,2,1
348,1,1,0,0,500,1,1,4,1,3,0,2,1
349,1,0,0,0,500,0,0,3,0,2,1,2,1
350,1,0,0,0,500,0,1,4,1,4,0,2,1
351,1,0,0,0,500,1,1,3,3,2,1,2,1
352,0,1,0,0,500,1,0,4,1,1,0,0,0
353,0,1,0,0,500,0,0,4,1,1,0,0,0
354,0,1,0,0,500,1,0,4,1,1,0,0,0
355,1,1,0,0,500,1,0,4,1,1,0,0,0
356,1,2,0,0,500,0,1,4,2,1,0,0,0
357,0,2,0,0,500,1,1,4,2,1,0,0,0
358,0,2,0,0,500,1,0,4,2,1,0,0,0
359,0,0,1,1,500,0,0,4,2,1,0,0,1
360,0,0,1,1,500,0,0,4,2,1,0,0,1
361,1,0,0,0,500,0,1,3,0,1,0,0,0
362,1,0,0,0,500,1,1,3,0,1,0,0,0
363,0,0,1,0,500,1,0,4,2,1,0,0,1
364,0,0,0,0,500,0,1,3,0,1,0,0,0
365,1,0,0,0,500,0,1,3,0,1,0,0,0
366,1,0,0,0,500,0,1,3,0,1,0,0,0
367,1,0,0,0,500,0,0,3,0,1,0,0,0
368,1,0,0,1,500,1,0,3,0,4,1,2,1
369,1,0,0,0,500,1,1,3,0,2,0,2,1
370,1,0,0,0,500,1,0,3,3,2,1,2,1
371,0,1,1,0,500,0,0,4,2,3,0,1,1
372,1,1,1,0,500,1,1,4,2,3,0,1,1
373,1,1,0,0,500,1,0,4,1,4,0,1,1
374,1,1,0,0,500,0,1,4,1,2,0,1,1
375,1,1,0,0,500,1,1,4,1,3,0,1,1
376,1,0,0,0,500,0,1,3,3,3,1,1,1
377,1,0,0,0,500,0,1,3,0,3,1,1,1
378,1,0,0,0,500,1,0,3,0,2,1,1,1
379,1,0,0,0,500,0,1,3,0,4,0,1,1
380,1,0,0,1,500,0,0,3,3,2,1,1,1
381,1,0,0,1,500,1,1,3,3,2,2,1,1
382,0,1,1,0,500,1,0,4,2,4,0,0,1
383,0,1,1,0,500,0,0,4,2,3,0,0,1
384,1,0,2,1,500,0,0,4,2,4,0,0,1
385,1,0,2,1,500,1,0,4,2,4,0,0,1
386,1,0,2,0,500,1,0,4,2,3,0,0,1
387,0,1,2,0,500,1,1,4,2,4,0,0,1
388,1,0,0,0,500,1,0,3,0,2,1,0,0
389,1,0,0,0,500,0,0,3,0,3,1,0,1
390,1,0,0,0,500,1,0,3,3,2,1,0,0
391,1,0,0,0,500,0,1,3,3,3,1,0,0
392,1,0,0,0,500,0,1,3,3,3,1,0,0
393,1,0,0,1,500,0,0,3,3,3,1,0,0
394,0,2,0,0,500,0,0,4,1,4,0,1,1
395,0,2,0,0,500,0,0,4,1,4,0,1,1
396,1,1,0,0,500,0,1,4,1,3,0,1,1
397,1,1,0,0,500,1,1,4,1,4,0,1,1
398,0,2,1,0,500,1,1,4,2,2,0,1,1
399,1,1,2,0,500,0,0,4,2,3,0,0,1
400,1,0,1,0,500,1,1,4,1,3,0,0,1
401,0,1,2,1,500,1,1,0,1,4,3,1,1
402,1,1,2,1,500,0,0,0,1,4,2,1,1
403,0,1,2,1,500,0,1,0,1,2,3,1,1
404,1,1,2,1,500,1,0,0,1,2,3,1,1
405,0,2,0,0,500,1,0,0,1,4,3,2,1
406,1,4,1,0,500,0,1,1,4,3,1,2,1
407,1,2,1,0,500,0,1,0,2,3,1,2,1
408,0,2,0,0,500,1,0,0,1,4,3,2,1
409,1,4,4,1,500,1,1,2,3,2,3,2,1
410,1,4,3,0,500,1,1,2,0,3,3,2,1
411,1,4,4,0,500,0,1,2,0,4,3,2,1
412,1,3,4,1,500,1,1,2,0,2,3,2,1
413,0,1,2,0,500,0,1,0,1,4,2,1,1
414,1,2,2,0,500,0,1,0,1,4,2,1,1
415,1,2,2,1,500,0,1,0,2,3,2,1,1
416,1,4,4,1,500,1,1,2,0,4,3,1,1
417,1,2,5,1,500,0,1,0,1,4,3,1,1
418,1,2,5,1,500,0,0,2,0,4,3,1,1
419,1,2,1,0,500,0,1,0,2,4,2,1,1
423,1,2,5,1,500,1,1,0,1,4,3,1,1
424,1,2,2,0,500,0,1,0,2,3,3,1,1
425,0,2,2,0,500,1,1,0,2,3,3,1,1
426,1,4,5,1,500,1,1,0,1,2,3,1,1
427,1,4,4,1,500,0,0,2,1,4,3,2,1
428,0,4,5,1,500,0,1,2,1,2,3,2,1
429,1,3,1,0,500,1,1,2,2,3,3,2,1
430,1,4,5,0,500,0,1,2,2,4,3,2,1
431,0,3,1,0,500,0,1,2,2,3,3,2,1
432,0,2,0,0,500,1,1,1,4,3,3,2,1
433,0,2,0,0,500,0,1,1,4,3,2,2,1
434,1,2,0,0,500,1,1,1,4,3,3,2,1
438,0,4,0,0,500,0,0,0,0,1,2,0,0
439,1,3,0,0,500,0,1,0,0,1,2,0,0
440,0,3,0,0,500,0,0,0,0,1,2,0,0
441,0,3,0,0,500,0,0,0,0,1,2,0,0
442,1,4,0,0,500,0,1,0,0,1,2,0,0
443,1,3,0,0,500,1,0,0,0,1,3,0,0
444,1,3,0,1,500,1,1,0,0,1,3,0,0
445,1,4,5,1,500,1,0,2,2,1,3,0,1
446,0,4,0,1,500,1,0,0,0,1,3,0,0
447,0,3,0,1,500,0,0,0,0,1,3,0,0
448,0,3,0,1,500,1,0,0,0,1,3,0,0
449,0,3,0,1,500,0,0,0,0,1,2,0,0
450,1,2,5,0,500,1,1,2,2,1,3,0,1
451,1,4,5,0,500,1,1,0,4,1,3,0,1
452,1,2,5,0,500,0,1,2,2,1,2,0,1
453,0,3,0,1,500,0,0,0,0,1,3,0,0
454,0,3,0,0,500,1,0,0,0,1,3,0,0
455,0,3,0,0,500,1,0,0,0,1,3,0,0
456,1,4,5,0,500,0,1,2,2,1,3,0,1
457,0,4,5,1,500,0,1,2,2,1,3,0,1
458,1,4,0,0,500,1,1,0,0,1,3,0,0
459,0,4,0,1,500,1,1,0,0,1,3,0,0
460,1,4,5,1,500,1,1,2,4,1,3,0,1
461,1,4,5,1,500,1,1,2,3,1,3,0,1
462,1,0,1,0,500,0,1,1,0,2,1,0,1
463,0,2,0,0,500,1,0,4,4,2,0,0,0
464,0,2,0,1,500,1,0,4,4,4,0,0,0
465,1,1,0,0,500,0,0,3,1,3,1,0,0
466,1,2,2,1,500,1,0,0,0,1,2,1,1
467,0,2,0,0,500,0,0,4,4,3,0,0,0
468,1,2,0,0,500,1,0,4,4,2,0,0,0
469,0,1,0,1,500,1,0,4,2,2,1,0,0
470,1,0,1,0,500,0,1,1,0,2,1,0,1
471,0,1,0,0,500,1,0,4,2,4,1,0,0
472,0,1,0,0,500,1,0,4,2,3,0,0,0
473,1,0,1,0,500,1,1,1,0,3,1,0,1
474,1,0,1,1,500,0,1,1,0,3,1,0,1
475,1,0,1,1,500,0,1,1,0,4,0,0,1
476,0,1,0,0,500,0,0,4,2,2,0,0,0
477,1,1,1,0,500,1,1,1,0,3,0,0,1
478,1,0,2,1,500,1,0,3,1,4,1,0,1
479,0,0,2,0,500,1,1,3,1,2,0,0,1
480,1,2,0,0,555,0,1,2,0,0,2,2,1
484,0,2,0,0,500,0,0,4,4,3,0,0,0
485,1,2,0,1,500,1,0,4,4,2,0,0,0
486,0,2,0,0,500,0,0,4,4,2,0,0,0
487,0,2,0,0,500,1,0,4,4,3,0,0,0
488,0,2,0,0,500,1,1,4,4,2,0,0,0
489,0,1,0,0,500,1,0,4,2,4,0,0,0
490,1,0,2,0,500,0,0,3,1,2,1,0,1
491,1,1,2,1,500,1,0,3,1,4,1,0,1
492,1,2,2,1,500,1,0,3,1,2,1,0,1
493,1,2,2,0,500,0,0,3,1,2,1,0,1
494,1,2,3,1,555,1,0,3,1,5,1,0,1
495,1,2,3,1,555,1,0,3,1,0,1,0,1
496,1,0,0,1,555,0,0,1,3,5,1,0,0
497,1,2,3,1,555,0,0,3,1,5,0,0,1
498,1,0,0,0,555,1,1,1,3,0,1,3,1
499,1,1,0,0,555,0,1,1,0,0,1,3,1
500,1,0,0,1,555,0,0,1,3,5,2,0,0
501,0,0,0,1,555,1,0,1,3,5,2,0,0
502,1,0,0,1,555,0,0,1,3,5,2,0,0
503,1,0,0,1,555,0,0,1,3,0,2,0,0
504,1,1,0,0,555,0,1,1,0,0,1,1,1
505,1,1,0,0,555,1,1,1,0,5,1,1,1
506,1,2,0,0,555,0,0,4,4,5,0,1,1
507,0,2,0,0,555,0,0,4,4,5,0,1,1
508,1,1,0,0,555,1,1,3,2,0,0,1,1
509,1,1,0,0,555,0,1,3,2,0,0,1,1
510,1,1,0,0,555,0,1,3,1,0,0,1,1
511,1,1,0,0,555,1,1,3,1,0,1,1,1
512,1,1,0,0,555,1,1,3,1,5,1,1,1
513,1,1,0,0,555,0,1,3,1,5,0,1,1
514,1,1,0,0,555,0,1,3,1,0,0,1,1
515,1,0,0,0,555,1,1,1,3,0,3,1,1
516,1,1,0,0,555,1,1,3,1,5,1,1,1
517,1,1,0,0,555,0,1,3,1,0,0,1,1
518,1,1,0,0,555,0,1,3,1,0,0,1,1
519,1,1,0,0,555,0,1,3,1,5,1,1,1
520,1,1,0,0,555,0,1,3,1,0,1,1,1
521,1,1,0,0,555,0,1,3,1,0,0,1,1
522,1,1,0,0,555,1,1,3,1,0,1,1,1
523,1,1,0,0,555,1,1,3,1,5,1,1,1
524,1,1,0,0,555,0,1,3,1,0,0,1,1
525,1,1,0,0,555,0,1,3,1,0,0,1,1
529,1,1,0,0,555,0,1,3,1,0,0,1,1
530,1,0,0,1,555,1,0,1,3,0,2,1,1
531,1,0,0,0,555,1,1,1,3,0,3,1,1
532,1,0,0,0,555,1,1,1,3,0,3,1,1
533,0,0,0,0,555,0,0,1,3,0,2,1,1
534,1,0,0,1,555,1,0,1,3,0,3,1,1
