Sector,Industry,Company,No_Yrs,EPS_Payout,TTM_EPS,PEG,TTM_ROE,TTM_Growth,NY_Growth,DRG_1yr,Debt,Est_2019,Symbol
Real Estate,Equity Real Estate Investment Trusts (REITs),Armada Hoffler Properties Inc.,6,242.42,0.33,9.13,7.1,-36.8,4.65,5.3,2.38,0.8,AHH
Industrials,Machinery,Altra Industrial Motion Corp.,7,44.16,1.54,1.31,12.9,54.5,17.72,6.3,0.61,0.75,AIMC
Industrials,Trading Companies & Distributors,Applied Industrial Technologies Inc.,10,32.8,3.78,1.3,17.3,1.7,8.75,3.4,1.12,1.22,AIT
Financials,Insurance,Assurant Inc.,15,38.28,6.27,0.79,11,-32.1,55.58,6,0.38,2.3,AIZ
Financials,Insurance,Arthur J. Gallagher & Co.,9,47.51,3.62,1.44,14,18.2,14.07,5.1,0.78,1.8,AJG
Real Estate,Equity Real Estate Investment Trusts (REITs),Acadia Realty Trust,6,224,0.5,19.08,3,-20.5,-2.66,3.8,1.05,1.09,AKR
Industrials,Trading Companies & Distributors,Air Lease Corp.,7,11.76,4.42,0.36,19.7,6.3,25.04,33.3,2.48,0.43,AL
Materials,Chemicals,Albemarle Corp.,24,19.45,6.89,0.94,9.4,8.3,13.55,4.7,0.48,1.43,ALB
Utilities,Electric Utilities,Allete Inc.,8,92.18,2.43,5.28,7.4,-0.5,7.51,4.7,0.72,2.26,ALE
Industrials,Machinery,Alamo Group Inc,5,8.01,5.99,2.18,12.7,34.9,10.54,10,0.2,0.48,ALG
Industrials,Airlines,Alaska Air Group Inc.,7,34.15,4.1,2.41,21.6,-10.8,11.33,6.7,0.54,1.29,ALK
Financials,Insurance,Allstate Corp.,8,21,8.76,0.7,17.3,49.5,12.66,21.5,0.3,1.93,ALL
Industrials,Building Products,Allegion plc,5,22.11,3.8,2.02,63.6,43.5,10.3,31.3,2.43,0.92,ALLE
Consumer Discretionary,Auto Components,Autoliv Inc.,9,36.31,6.83,0.97,11.2,-12.5,10.16,3.4,1.1,2.48,ALV
Health Care,Biotechnology,Amgen Inc.,9,47.82,12.13,3.69,12.6,7.3,2.55,14.8,2.4,5.67,AMGN
Financials,Capital Markets,Ameriprise Financial Inc.,14,26.73,13.47,0.5,30.1,44.3,5.6,9,2.71,3.88,AMP
Financials,Insurance,Amerisafe Inc.,6,25.66,3.43,1.73,12.1,-24.6,-11.64,10,0,0.89,AMSF
Real Estate,Equity Real Estate Investment Trusts (REITs),American Tower Corp.,9,128.74,2.61,9.19,19.9,32.7,23.15,14,3.97,3.31,AMT
Financials,Capital Markets,TD Ameritrade Holding Corp.,9,38.34,3.13,0.95,15.9,50,8.14,24,0.32,1.02,AMTD
Consumer Staples,Food & Staples Retailing,Andersons Inc. (The),17,138.78,0.49,8.94,10.8,-368.8,64.62,3.1,0.72,0.67,ANDE
Energy,"Oil, Gas & Consumable Fuels",Andeavor Logistics LP,8,197.13,2.09,1.47,17.3,11.2,18.79,7.1,1.18,4.48,ANDX
Health Care,Health Care Providers & Services,Anthem Inc.,9,24.5,13.06,1.3,16.4,10.8,12.42,11.1,0.67,3.3,ANTM
Financials,Insurance,Aon plc,7,34.93,4.58,2.24,16.5,-36.4,12.74,10.6,1.54,1.58,AON
Industrials,Building Products,A.O. Smith Corp.,25,36.07,2.44,2,19.9,17.3,8.82,35.7,0.11,0.84,AOS
Materials,Chemicals,Air Products & Chem.,37,60.57,7.66,1.96,14.4,48.5,13.09,14.6,0.35,4.68,APD
Information Technology,"Electronic Equipment, Instruments & Components",Amphenol Corp.,7,22.22,4.14,2.44,18.5,27,9.24,25.4,0.81,0.92,APH
Industrials,Building Products,Apogee Enterprises Inc.,8,26.12,2.68,0.85,15.2,-11.9,12.14,12.5,0.44,0.64,APOG
Utilities,Gas Utilities,AmeriGas Partners LP,14,246.75,1.54,0.83,20.9,22.5,1.67,0.3,5.35,4.18,APU
Real Estate,Equity Real Estate Investment Trusts (REITs),Alexandria Real Estate Equities Inc.,9,93.49,4.15,317.45,8.4,179.5,-46.18,6.4,0.84,4.03,ARE
Financials,Insurance,Argo Group International Holdings Ltd.,6,32.34,3.34,2.85,7.5,-79.4,45.98,15,0.32,1.09,ARGO
Consumer Discretionary,"Hotels, Restaurants & Leisure",Aramark Services Inc.,5,33.85,1.3,2.26,19.9,-12.3,13.23,2.7,2.39,0.43,ARMK
Financials,Banks,Arrow Financial Corp.,25,43.7,2.38,1.94,13.9,5.6,3.19,4.3,0.08,1.08,AROW
Financials,Banks,Associated Banc-Corp,7,38.2,1.78,1.31,7.6,19.4,5.07,24,0.22,0.68,ASB
Materials,Chemicals,Ashland Global Holdings Inc.,9,59.17,1.69,18.04,3.4,177.1,34.87,12.6,0.74,1.07,ASH
Utilities,Gas Utilities,Atmos Energy,35,52.76,3.98,3.8,12.8,10.9,6.56,7.9,0.76,2.18,ATO
Materials,Containers & Packaging,AptarGroup Inc.,25,38.53,3.53,3,14.9,19.6,11.84,3.1,0.97,1.45,ATR
Communication Services,Entertainment,Activision Blizzard Inc.,9,21.52,1.58,3.28,5.7,-7,0.38,13.3,0.25,0.34,ATVI
Utilities,Multi-Utilities,Avista Corp.,16,76.41,1.95,3.8,6.8,-9.5,6.93,4.2,1.11,1.5,AVA
Real Estate,Equity Real Estate Investment Trusts (REITs),Avalonbay Communities Inc.,7,98.66,5.96,12.74,7.9,-15.6,-8.94,3.9,0.72,5.89,AVB
Information Technology,Semiconductors & Semiconductor Equipment,Broadcom Limited,9,93.06,11.39,1.54,43.8,187.6,14.59,64.2,0.66,8.69,AVGO
Information Technology,"Electronic Equipment, Instruments & Components",AVX Corp.,9,40,1.15,1.79,1.3,5.1,-5.06,3.4,0,0.48,AVX
Materials,Containers & Packaging,Avery Dennison Corp.,8,38.03,5.47,1.42,29.6,42.4,9.36,14.2,1.78,2.21,AVY
Utilities,Water Utilities,American Water Works,11,56.52,3.22,3.63,8.1,17.7,8.25,9.9,1.43,1.96,AWK
Utilities,Water Utilities,American States Water,64,65.09,1.69,6.67,11.6,15.7,12.35,6.6,0.71,1.17,AWR
Financials,Consumer Finance,American Express Company,7,21.28,7.33,1.12,16.4,5.4,10.23,9.9,5.91,1.52,AXP
Financials,Insurance,Axis Capital Holdings Ltd.,17,66.39,2.41,4.44,3.6,-187.5,117.88,2.6,0.31,1.58,AXS
Industrials,Trading Companies & Distributors,Aircastle Limited,8,48.19,2.49,0.9,10.3,-4.3,-29.68,7.5,2.38,1.15,AYR
Industrials,Machinery,Barnes Group Inc.,8,20.51,3.12,1.89,5.5,15.2,8.28,12.7,0.47,0.68,B
Financials,Banks,Bank of America Corp,5,22.99,2.61,0.53,8.3,16.9,11.28,38.5,1.74,0.59,BAC
Information Technology,IT Services,Booz Allen Hamilton Holding Corp.,7,32.34,2.35,1.31,58.8,19.5,10.02,11.8,2.76,0.84,BAH
Financials,Capital Markets,Brookfield Asset Management Inc.,7,23.44,2.56,0.97,10.5,-13.5,-1.77,7.1,4.88,0.61,BAM
Financials,Banks,BancFirst Corp. OK,25,31.91,3.76,2.04,12.1,25.5,1.37,19.2,0.04,1.02,BANF
Financials,Banks,Banner Corp.,6,37.72,4.03,1.93,5.8,24.3,4.6,35.7,0.09,1.46,BANR
Financials,Banks,BB&T Corp.,8,41.43,3.91,3.14,10.2,-3.2,6.85,20.2,0.77,1.53,BBT
Consumer Discretionary,Specialty Retail,Best Buy Corp.,15,37.82,4.76,0.77,33,11.6,5.85,32.4,0.44,1.98,BBY
Consumer Discretionary,Leisure Products,Brunswick Corp.,6,32.94,2.55,1.32,6.5,-2.9,11.73,13.9,0.79,0.79,BC
Materials,Chemicals,Balchem Inc.,10,20.52,2.29,1.51,15.4,13.6,-2.94,10.5,0.26,0.46,BCPC
Health Care,Health Care Equipment & Supplies,Becton Dickinson & Co.,47,102.67,3,6.63,0.8,-34.5,12.7,2.7,1.02,3.05,BDX
Consumer Staples,Beverages,Brown-Forman Class B,35,45.17,1.47,3.56,55.7,11.6,8.26,8.2,1.7,0.7,BF-B
Financials,Thrifts & Mortgage Finance,BankFinancial Corp.,5,35.71,1.12,1.68,6.5,59.8,7.18,32.1,0,0.41,BFIN
Consumer Staples,Food Products,Bunge Limited,18,114.94,1.74,3.13,4,-76.8,64.03,9.1,1.31,1.94,BG
Utilities,Multi-Utilities,Brookfield Infrastructure Partners LP,11,303.23,0.62,4.08,3.1,-103.7,35.11,8,2.21,1.9,BIP
Financials,Capital Markets,Bank of New York Mellon Corp.,8,29.09,3.85,1.44,11.2,-3.4,8.8,20.9,0.74,1.05,BK
Information Technology,"Electronic Equipment, Instruments & Components",Badger Meter Inc.,26,71.43,0.84,4.2,8.3,9.3,10.87,14.3,0.12,0.61,BMI
Financials,Banks,Bank of Marin Bancorp,15,38.97,1.95,3.08,8,-20,11.72,13.4,0.02,0.64,BMRC
Materials,Containers & Packaging,Bemis Company,35,269.57,0.46,11.6,9.3,-88.3,7.63,3.3,1.22,1.25,BMS
Financials,Banks,Bryn Mawr Bank Corp.,8,31.95,3.13,1.69,6.4,3.8,7.55,9.3,0.22,0.98,BMTC
Health Care,Pharmaceuticals,Bristol-Myers Squibb Co.,10,53.59,3.06,1.78,3,-10.9,6.1,2.6,0.54,1.62,BMY
Financials,Banks,BOK Financial Corp.,14,31.06,6.44,1.84,11.5,50,10.87,7.3,0.05,2.09,BOKF
Financials,Banks,Boston Private Financial Holdings Inc.,6,126.32,0.38,3.01,3.1,-30.8,4.23,9.1,0.14,0.48,BPFH
Information Technology,IT Services,Broadridge Financial Solutions Inc.,12,49.74,3.9,2.58,39.9,36.1,9.76,16.6,0,1.74,BR
Industrials,Commercial Services & Supplies,Brady Corp.,33,38.64,2.2,1.76,12.7,16,8.46,1.4,0,0.92,BRC
Financials,Insurance,Brown & Brown Inc.,25,23.19,1.38,1.26,12.7,5.8,10.06,9.9,0.29,0.32,BRO
Consumer Discretionary,Household Durables,Bassett Furniture Industries Inc.,8,56.18,0.89,1.34,4.3,-47.5,45.59,11.9,0,0.47,BSET
Financials,Banks,Sierra Bancorp,7,37.5,1.92,1.73,9.5,20.4,5.88,14.3,0.13,0.7,BSRR
Financials,Banks,First Busey Corp.,6,43.98,1.91,2.16,9,17,12.28,11.1,0.23,0.88,BUSE
Consumer Discretionary,Auto Components,BorgWarner Inc.,6,17.66,3.85,1.57,14.2,22,5.16,15.3,0.53,0.75,BWA
Financials,Banks,BancorpSouth Inc.,6,30.49,2.23,2.61,9.3,19.1,6,14.6,0.02,0.65,BXS
Consumer Discretionary,"Hotels, Restaurants & Leisure",Cheesecake Factory Inc.,7,60.27,2.19,2.14,23.1,-12.6,9.01,17,0.03,1.25,CAKE
Consumer Staples,Food & Staples Retailing,Casey's General Stores Inc.,19,24.47,4.74,1.94,26.6,-15.3,3.14,10,0.96,1.11,CASY
Industrials,Machinery,Caterpillar Inc.,25,33.59,10.24,0.52,25.5,69.2,8.59,5.8,2.26,3.61,CAT
Financials,Banks,Cathay General Bancorp,6,34.35,3.61,1.29,10.4,12.4,4.35,18.4,0.1,1.13,CATY
Financials,Insurance,Chubb Limited,25,29.17,10.01,1.14,10.1,-18.4,17.99,2.9,0.25,2.91,CB
Consumer Discretionary,"Hotels, Restaurants & Leisure",Cracker Barrel Old Country,16,55.19,9.06,46.15,40.8,7.7,5.17,4.3,0.67,5.28,CBRL
Financials,Banks,Commerce Bancshares,51,32.1,3.24,2.31,14.1,13.7,3.97,9.7,0,0.98,CBSH
Materials,Chemicals,Cabot Corp.,7,183.33,0.72,5.81,-9.4,-81.4,13.3,4.8,0.87,1.32,CBT
Financials,Banks,Community Bank System,26,49.67,3.06,2.45,11.9,-2.4,3.5,7.7,0.06,1.41,CBU
Financials,Banks,Capital City Bank Group,5,28.13,1.28,3.13,6.1,27.5,32.79,33.3,0.18,0.35,CCBG
Real Estate,Equity Real Estate Investment Trusts (REITs),Crown Castle International Corp,5,333.33,1.35,4.06,3.1,10.7,11.79,9.6,1.34,4.7,CCI
Information Technology,"Electronic Equipment, Instruments & Components",CDW Corp.,6,30.18,3.91,1.25,64.5,10.5,9.34,34.1,2.77,1.02,CDW
Materials,Chemicals,Celanese Corp.,9,21.01,10.28,0.57,40.2,10.5,-0.52,19.5,0.97,2.29,CE
Financials,Banks,Citizens Financial Group Inc.,6,36.99,3.46,0.58,9.1,31.9,8.1,53.1,0.79,1.08,CFG
Financials,Banks,Cullen/Frost Bankers,25,40.42,6.63,1.46,13.5,18.2,4.22,14.7,0.07,2.84,CFR
Financials,Banks,City Holding Co.,7,43.27,4.9,1.83,13,14.1,5.84,9.1,0.03,2.1,CHCO
Consumer Staples,Household Products,Church & Dwight,22,39.01,2.23,2.62,37.2,4.9,8.48,14.7,0.89,0.91,CHD
Health Care,Health Care Providers & Services,Chemed Corp.,10,10.2,11.76,1.83,37.9,-17.1,5.91,7.4,0.23,1.17,CHE
Financials,Banks,Chemical Financial Corp.,7,36.66,3.71,1.33,8.1,25.9,6.68,12.7,0.01,1.36,CHFC
Industrials,Air Freight & Logistics,C.H. Robinson Worldwide,21,45.35,4.41,1.31,42,-2.9,8.29,3.9,0.9,1.9,CHRW
Consumer Discretionary,Specialty Retail,Chico's FAS Inc.,9,66.67,0.51,1.13,12.1,2.3,-19.22,3,0.09,0.35,CHS
Financials,Insurance,Cincinnati Financial,58,39.33,5.39,2.34,17,-6.7,3.14,5.6,0.1,2.11,CINF
Financials,Banks,Civista Bancshares Inc.,8,40.91,0.88,2.65,4.8,-15.6,10.42,28,0.11,0.32,CIVB
Consumer Staples,Household Products,Clorox Company,41,66.21,5.8,4.69,112.1,5.5,6.54,13.4,3.79,3.92,CLX
Financials,Banks,Comerica Inc.,10,37.48,7.15,0.56,11.8,77.6,6.54,70.4,0.82,2.02,CMA
Communication Services,Media,Comcast Corp.,12,34.29,2.45,1.12,34.2,17.6,13.39,19.3,1.02,0.8,CMCSA
Health Care,Health Care Equipment & Supplies,Cantel Medical Corp.,10,10.47,1.91,2.37,14.4,15.4,13.36,21.4,0.31,0.19,CMD
Financials,Capital Markets,CME Group Inc.,8,49.82,5.62,1.73,19.7,-5,8.59,6.1,0.15,2.83,CME
Industrials,Machinery,Cummins Inc.,13,34.26,13.31,0.94,17.7,29.3,12.94,5.5,0.34,4.88,CMI
Utilities,Multi-Utilities,CMS Energy Corp.,13,62.2,2.46,2.99,11.8,9.6,6.98,7.4,2.36,1.57,CMS
Industrials,Road & Rail,Canadian National Railway,24,21.58,7.6,1.22,34,104.9,14.2,9,0.68,1.53,CNI
Utilities,Multi-Utilities,CenterPoint Energy,14,117.35,0.98,3.14,32.5,57.2,7,3.9,1.79,1.22,CNP
Financials,Capital Markets,Cohen & Steers Inc.,9,55,2.4,3.05,34.7,-12.4,8.93,12.5,0,1.27,CNS
Financials,Banks,Columbia Banking System Inc.,9,51.85,2.16,1.89,7,14.2,4.99,13.6,0.02,1.1,COLB
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Columbia Sportswear Co.,13,42.29,2.27,3.36,9,-40.1,13.03,23.3,0,0.91,COLM
Real Estate,Equity Real Estate Investment Trusts (REITs),CyrusOne Inc.,6,165.77,1.11,2.15,5.7,-490.6,-90.84,9.8,1.22,1.82,CONE
Real Estate,Equity Real Estate Investment Trusts (REITs),CoreSite Realty Corp.,10,207.55,2.12,3.12,27.3,19.4,-0.59,11.7,4.07,4.42,COR
Consumer Discretionary,Distributors,Core-Mark Holding Company,8,68.75,0.64,12.08,8,-65.1,7,10.8,0.73,0.41,CORE
Consumer Staples,Food & Staples Retailing,Costco Wholesale,15,30.73,7.42,2.6,26.2,17.5,8.92,13.3,0,2.43,COST
Financials,Banks,Central Pacific Financial Corp.,6,45.65,1.84,1.95,9.9,5.5,3.47,17.1,0.19,0.87,CPF
Utilities,Gas Utilities,Chesapeake Utilities,15,48.05,3.08,4.9,12.9,-6.5,8.32,10.3,1.02,1.4,CPK
Real Estate,Equity Real Estate Investment Trusts (REITs),Camden Property Trust,8,144.6,2.13,12.67,6,-55.8,10.02,2,0.68,3.09,CPT
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Carter's Inc.,6,34.62,5.2,1.92,34.2,6.4,8.86,21.6,0.98,1.92,CRI
Information Technology,Communications Equipment,Cisco Systems Inc.,8,54.1,2.44,2.17,2.7,13.1,9.08,13.3,0.58,1.41,CSCO
Industrials,Industrial Conglomerates,Carlisle Companies,42,30.36,5.27,1.36,23.8,24.7,26.23,6.9,0.59,1.69,CSL
Industrials,Road & Rail,CSX Corp.,14,22.86,3.85,1.46,43.4,18.9,11.97,12.8,1,0.97,CSX
Industrials,Commercial Services & Supplies,Cintas Corp.,36,29.37,6.98,1.68,30.3,33.5,12.71,26.5,0.9,2.26,CTAS
Financials,Banks,Community Trust Banc.,38,42.99,3.35,2.43,10.4,2.3,1.81,4.7,0.11,1.38,CTBI
Real Estate,Equity Real Estate Investment Trusts (REITs),CareTrust REIT Inc.,5,143.86,0.57,1.27,7,-32.3,5.5,8.1,0.67,0.81,CTRE
Utilities,Water Utilities,Connecticut Water Service,49,30.79,4.06,2.78,6.5,8.6,28.52,5.1,1.05,1.34,CTWS
Real Estate,Equity Real Estate Investment Trusts (REITs),CubeSmart,9,152.38,0.84,6.12,9.4,66.2,1.53,11.1,0.97,1.32,CUBE
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Culp Inc.,8,36.36,1.1,1.93,9.9,-16.5,23.92,12.5,0,0.36,CULP
Consumer Staples,Food Products,Calavo Growers Inc.,7,51.81,1.93,2.94,12.1,-9.1,14.31,5.3,0.06,1.01,CVGW
Energy,"Oil, Gas & Consumable Fuels",Chevron Corp.,32,74.84,6.36,0.31,9.4,114.6,-9.62,3.7,0.24,4.93,CVX
Utilities,Water Utilities,California Water Service,52,22.77,3.47,1.46,8.4,259.5,16.42,4.4,1.26,0.83,CWT
Utilities,Multi-Utilities,Dominion Energy Inc.,16,105.46,3.48,3.08,17.5,-1.8,4.01,10,2.07,3.37,D
Industrials,Airlines,Delta Air Lines Inc.,6,24.43,5.73,0.6,23.5,-14.1,6.73,29.1,0.68,1.32,DAL
Industrials,Machinery,Donaldson Company,32,47.8,1.59,2.97,23,-14.3,9.19,5.6,0.83,0.76,DCI
Consumer Discretionary,Multiline Retail,Dillard's Inc.,8,6.86,5.83,2.11,14.5,-1,-2.7,29,0.47,0.4,DDS
Real Estate,Equity Real Estate Investment Trusts (REITs),Douglas Emmett Inc.,9,148.57,0.7,6.74,4.9,5,10.41,8.7,1.68,1.05,DEI
Financials,Consumer Finance,Discover Financial Services,8,19.75,8.1,0.49,21.8,3,9.44,15.4,2.58,1.55,DFS
Health Care,Health Care Providers & Services,Quest Diagnostics Inc.,8,39.92,5.31,2.36,16.8,4.7,3.46,8.3,0.7,2.04,DGX
Consumer Discretionary,Household Durables,D.R. Horton Inc,5,14.67,4.09,0.8,15.5,49.3,8.49,23.5,0.36,0.58,DHI
Health Care,Health Care Equipment & Supplies,Danaher Corp.,5,16.41,3.9,3.36,10.2,13.7,6.74,13.8,0.38,0.68,DHR
Communication Services,Entertainment,Walt Disney Company,9,24.34,7.23,3.25,27.5,27.1,3.81,7.7,0.43,1.85,DIS
Energy,"Oil, Gas & Consumable Fuels",Delek Logistics Partners LP,7,122.73,2.64,0.57,37.1,0.7,11.38,8.8,4.49,3.06,DKL
Information Technology,"Electronic Equipment, Instruments & Components",Dolby Laboratories Inc,5,47.5,1.6,2.53,5.7,-17.8,15.64,15.5,0,0.68,DLB
Industrials,Machinery,Dover Corp.,63,43.84,4.38,1.47,20.1,48.4,15.91,4.4,1.19,2.09,DOV
Information Technology,IT Services,Amdocs Limited,7,39.84,2.51,3.18,10,-15.3,6.36,13.5,0,0.98,DOX
Utilities,Multi-Utilities,DTE Energy Company,10,50.87,7.43,2.89,12.3,42.5,-1.41,6.9,1.34,3.88,DTE
Utilities,Electric Utilities,Duke Energy Corp.,14,93.69,3.96,5.03,6.9,13.9,4.38,4.2,1.32,4,DUK
Financials,Banks,Eagle Bancorp Montana Inc.,19,41.11,0.9,1.97,4.6,-11.7,71.35,7.4,0.27,0.37,EBMT
Materials,Chemicals,Ecolab Inc.,27,36.65,5.02,2.35,20.7,10.6,12.31,10.8,0.9,1.8,ECL
Utilities,Multi-Utilities,Consolidated Edison,45,13.45,22.01,1.23,9.9,436.9,0.23,3.6,1.13,3.15,ED
Utilities,Electric Utilities,El Paso Electric Co.,8,55.38,2.6,3.96,8,1.2,3.52,7.6,1.17,1.43,EE
Real Estate,Equity Real Estate Investment Trusts (REITs),EastGroup Properties Inc.,7,115.2,2.5,5.38,10.8,-16.5,-11.16,4.8,1.26,2.67,EGP
Health Care,Health Care Providers & Services,Encompass Health Corp.,6,33.13,3.26,1.82,26.1,4,4,7.2,1.93,1.08,EHC
Utilities,Electric Utilities,Edison International,16,86.27,2.84,5.35,3.9,-20.2,8.09,11.5,1.22,2.44,EIX
Consumer Staples,Personal Products,Estee Lauder Companies Inc.,9,40.09,4.29,3.35,25.7,22,10.77,12.1,0.8,1.73,EL
Real Estate,Equity Real Estate Investment Trusts (REITs),Equity LifeStyle Properties,14,99.1,2.22,4.11,19.7,12.9,12.22,13.3,2.05,2.35,ELS
Financials,Insurance,EMC Insurance Group Inc.,9,63.45,1.45,4.54,6.9,-35.7,16.22,4.7,0.04,0.9,EMCI
Materials,Chemicals,Eastman Chemical Co.,9,29.77,8.33,0.98,27.2,24.3,7.66,9.8,1.12,2.46,EMN
Industrials,Electrical Equipment,Emerson Electric,62,61.83,3.17,2.3,25.8,24.1,12.21,1,0.53,2.14,EMR
Health Care,Health Care Providers & Services,Ensign Group Inc.,12,12.67,1.5,1.93,14.6,-12.4,14.04,7.4,0.46,0.18,ENSG
Energy,"Oil, Gas & Consumable Fuels",Enterprise Products Partners LP,22,104.19,1.67,1.78,16,29.9,7.53,2.9,1.12,1.89,EPD
Real Estate,Equity Real Estate Investment Trusts (REITs),EPR Properties,9,133.93,3.36,3.11,8.6,3.7,-4.16,5.4,1.02,4.46,EPR
Energy,"Oil, Gas & Consumable Fuels",EQT Midstream Partners LP,8,98.91,4.57,1.18,12.2,-0.3,-15.5,17.5,0,4.34,EQM
Financials,Insurance,Erie Indemnity Company,29,81.45,4.42,3.31,29.5,-11.7,0.93,7.3,0.11,3.39,ERIE
Utilities,Electric Utilities,Eversource Energy,20,61.77,3.27,3.64,9.2,5,6.31,6.3,1.25,2.12,ES
Consumer Discretionary,Leisure Products,Escalade Inc.,9,32.89,1.52,0.49,20.5,-4.1,-40.28,8.7,0,0.51,ESCA
Real Estate,Equity Real Estate Investment Trusts (REITs),Essex Property Trust,24,131.22,5.67,6.06,5.9,4.5,-5.13,7,0.89,7.66,ESS
Industrials,Electrical Equipment,Eaton Corp. plc,9,55.46,4.76,1.56,12.7,55.8,9.23,10,0.43,2.9,ETN
Financials,Capital Markets,Eaton Vance Corp.,38,42.3,3.31,1.76,34.7,36.3,5.39,11.3,1.35,1.41,EV
Financials,Capital Markets,Evercore Partners Inc.,12,26.74,7.48,0.83,32.6,146.4,1.49,33.8,0.29,2.09,EVR
Utilities,Electric Utilities,Evergy Inc,14,76.92,2.47,2.52,7.5,-6.6,14.73,9.8,0.78,1.75,EVRG
Industrials,Air Freight & Logistics,Expeditors International,24,28.3,3.18,1.78,31,5.1,3.42,7.1,0,0.95,EXPD
Consumer Discretionary,Internet & Direct Marketing Retail,Expedia Inc.,7,45.71,2.8,2.67,10.4,27.6,15.56,6.9,0.85,1.36,EXPE
Industrials,Professional Services,Exponent Inc.,6,40.63,1.28,2.6,16.9,22.6,6.93,23.8,0,0.57,EXPO
Real Estate,Equity Real Estate Investment Trusts (REITs),Extra Space Storage Inc.,9,87.31,3.94,4.17,17,27.3,7.58,7.7,1.99,3.7,EXR
Financials,Insurance,First American Financial Corp.,9,38.8,4.33,0.93,17,-11,4.86,11.1,0.22,1.62,FAF
Industrials,Trading Companies & Distributors,Fastenal Company,20,65.4,2.63,1.21,30.9,11.3,7.81,20.3,0.17,1.69,FAST
Industrials,Building Products,Fortune Brands Home & Security,7,32,2.75,1.62,18.5,10.4,10.47,11.1,1.13,0.88,FBHS
Financials,Banks,First Business Financial Services Inc.,7,31.09,1.93,1.34,7.7,-16.2,8.68,7.7,0.19,0.57,FBIZ
Financials,Banks,First Community Bancshares Inc.,7,40.38,2.08,3.3,7.8,13.5,0,14.7,0,0.86,FCBC
Financials,Thrifts & Mortgage Finance,First Defiance Financial Corp.,9,37.07,2.05,1.53,10.9,1.4,5.81,28,0.09,0.65,FDEF
Financials,Capital Markets,Factset Research System Inc.,20,32.95,7.77,2.39,50.8,14.1,9.83,13.8,1.06,2.73,FDS
